FragmentFlowID,FragmentID,Name,FragmentStageID,ReferenceFlowPropertyUUID,NodeTypeID,FlowUUID,DirectionID,Quantity,ParentFragmentFlowID
"121","4","CH: process-specific burdens, residual material landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","74a06560-01f7-404b-8a3a-a0305328f2fd","1","1.142600e-02","114"
"122","4","quicklime, milled, packed, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","a8b476d5-6e28-4eef-9355-282e574f9e95","2","1.411200e-04","114"
"123","4","CH: residual material landfill facility","","01846770-4cfe-4a25-8ad9-919d8d378345","3","3ccf92eb-a71e-4539-93ab-fe07f439f490","1","2.380500e-11","114"
"124","4","transport, lorry 20-28t, fleet average","","b04c0757-47f1-43f5-b910-5f475e11bd9b","1","8f497799-74f5-453b-978e-026d0491b914","2","1.350000e-03","114"
"125","4","chemicals inorganic, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","a59591db-180d-4351-9219-a689459b1f36","2","3.269200e-05","114"
"126","4","chemicals organic, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","d6a970f7-78f3-4e97-a888-04ac669cc72d","2","5.072900e-06","114"
"127","4","hydrochloric acid, 30% in H2O, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","dd28560d-504c-47c9-9275-39357f9923ff","2","1.961500e-05","114"
"128","4","sodium hydroxide, 50% in H2O, production mix, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","9be1d133-e659-4194-b919-ee26ef11447b","2","1.821500e-03","114"
"129","4","transport, freight, rail","","b04c0757-47f1-43f5-b910-5f475e11bd9b","1","bfb7e1d7-d97f-4053-9dc8-0f4aa3aefcab","2","7.728200e-03","114"
"130","4","Haz Waste Incineration Output","","93a60a56-a3c8-11da-a746-0800200b9a66","1","42d9e46e-8c40-41ae-8ba3-b069bc7c863f","2","1",""
"131","4","Waste to Disposal","","59dde9ea-d20b-4214-addc-0d03853aad53","3","13a4a21a-ecee-4af1-bd30-c6bf2703ab27","2","1","130"
"132","5","Truck Class LHD2 Diesel","","838aaa20-0117-11db-92e3-0800200c9a66","1","f9750573-2888-466f-8734-6013585d0ac0","2","1.365000e+01","138"
"133","5","Diesel","","93a60a56-a3c8-11da-a746-0800200b9a66","4","55a4c166-2eb6-43a3-9a13-2e4f2c4fee60","1","3.585698e-05","132"
"134","5","Truck Class 6 MHD Diesel","","838aaa20-0117-11db-92e3-0800200c9a66","1","5be0532e-080e-401e-8f57-7b31032a07af","2","1.482000e+01","138"
"135","5","Diesel","","93a60a56-a3c8-11da-a746-0800200b9a66","4","55a4c166-2eb6-43a3-9a13-2e4f2c4fee60","1","2.321261e-05","134"
"136","5","UO Local Collection","","93a60a56-a3c8-11da-a746-0800200b9a66","3","18801b22-73cc-4412-af2d-c10c62484dc7","1","1","138"
"137","5","Used Oil Collected","","59dde9ea-d20b-4214-addc-0d03853aad53","3","ef359a3c-996f-4183-a973-1d99edb3e42f","2","1","138"
"138","5","Local Collection Mixer","","93a60a56-a3c8-11da-a746-0800200b9a66","1","18801b22-73cc-4412-af2d-c10c62484dc7","2","1","139"
"139","5","Scenario Pipe","","93a60a56-a3c8-11da-a746-0800200b9a66","1","18801b22-73cc-4412-af2d-c10c62484dc7","1","1",""
"140","6","Scenario","","93a60a56-a3c8-11da-a746-0800200b9a66","1","18801b22-73cc-4412-af2d-c10c62484dc7","1","1","141"
"141","6","Scenario Pipe","","93a60a56-a3c8-11da-a746-0800200b9a66","2","18801b22-73cc-4412-af2d-c10c62484dc7","2","1",""
"142","6","Used Oil Collected","","59dde9ea-d20b-4214-addc-0d03853aad53","3","ef359a3c-996f-4183-a973-1d99edb3e42f","2","1","141"
"143","6","UO Transport","","838aaa20-0117-11db-92e3-0800200c9a66","3","d9ae9170-0267-447b-9b49-bcc6c6fdd4e0","1","3.609852e+02","140"
"144","6","UO_Transfer to DK","","93a60a56-a3c8-11da-a746-0800200b9a66","3","05314fee-241f-44f8-8c0e-703c1fe01ae5","2","5.471630e-01","140"
"145","6","Lost or Unknown","","59dde9ea-d20b-4214-addc-0d03853aad53","3","117721aa-e5f6-4b40-b930-5f6a1a9532a8","2","7.113000e-03","140"
"146","6","Recycled Oil Exported","","59dde9ea-d20b-4214-addc-0d03853aad53","3","913ccc6c-8a0c-4c7b-89d0-96bb46ab4ce5","2","1.010980e-01","140"
"147","6","Recycled Oil Reprocessed","","59dde9ea-d20b-4214-addc-0d03853aad53","3","4a6fc955-d020-4ca5-a358-1b285ac8ac8d","2","9.161650e-01","140"
"148","6","UO_Exports","","93a60a56-a3c8-11da-a746-0800200b9a66","3","8b6f1e9a-ce6b-4d8c-8ec2-24c4582c5696","2","1.010980e-01","140"
