FragmentNodeID,FragmentID,Name,FragmentStageID,ReferencePropertyUUID,NodeTypeID,Origin,FlowUUID,DirectionID,Quantity,Terminus
"89","2","natural gas, at consumer","","93a60a56-a3c8-11da-a746-0800200c9a66","1","110","f579de8c-8897-4bdb-9a0a-b36f8b13282e","2","49","89"
"90","2","Natural Gas Supply US LCI","","93a60a56-a3c8-22da-a746-0800200c9a66","1","110","67be2441-ddb9-462c-8986-edd1469ec410","2","1.360544e+00","90"
"91","2","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","90","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","1.681861e-08",""
"92","2","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","90","6133d060-4e09-4985-85a0-b87333f2e8b4","1","3.916662e-04",""
"93","2","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","90","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","3.283834e-05",""
"94","2","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","90","4d78344e-78af-4e18-a146-e88cc0b2934b","1","2.637457e-04",""
"95","2","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","90","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","2.872907e-03",""
"96","2","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","90","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","2.294250e-02",""
"97","2","Electricity from wind power","","93a60a56-a3c8-11da-a746-0800200c9a66","1","90","8623ad4c-34db-496f-9555-0c93fb949e7b","2","2.921652e-04","97"
"98","2","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","97","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.186893e-03",""
"99","2","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","97","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","1.128070e-04",""
"100","2","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","90","b9283404-c497-4673-9aa7-be1f66823bb2","1","1.217718e-03",""
"101","2","Electricity from geothermal","","93a60a56-a3c8-11da-a746-0800200c9a66","1","90","90f304ca-05aa-4fa6-9823-a57b95ffa9e9","2","7.330002e-04","101"
"102","2","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","101","2d2e7120-4341-47bf-a987-c57137f7a640","1","-4.783886e-07",""
"103","2","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","101","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","-4.544968e-08",""
"104","2","Electricity from hydro power","","93a60a56-a3c8-11da-a746-0800200c9a66","1","90","d3179bcb-ebeb-44cb-bb55-62ca97691ec4","2","1.421752e-02","104"
"105","2","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","104","2d2e7120-4341-47bf-a987-c57137f7a640","1","7.909370e-04",""
"106","2","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","104","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","7.518325e-05",""
"107","2","Electricity from photovoltaic","","93a60a56-a3c8-11da-a746-0800200c9a66","1","90","d60d18f1-c2e6-4588-b901-3317dc58acd2","2","3.304160e-05","107"
"108","2","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","90","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","6.141327e-02",""
"109","2","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","90","2a30cb5a-3ed0-4832-b610-bb822586b643","1","9.485431e+01",""
"110","2","Natural Gas Supply Mixer","","93a60a56-a3c8-11da-a746-0800200b9a66","1","","56737d34-86ba-4f50-8af1-9fe16dfbac66","1","3.333333e-01","110"
"111","3","disposal, hazardous waste, 0% water, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","1","112","96b681bd-8dd1-40fd-980e-30b149c00b5b","2","1","111"
"112","3","Haz Waste Landfill Output","","93a60a56-a3c8-11da-a746-0800200b9a66","1","","7fc23808-1719-472b-80ac-843e2478996c","2","1","112"
"113","3","Waste to Disposal","","59dde9ea-d20b-4214-addc-0d03853aad53","3","112","13a4a21a-ecee-4af1-bd30-c6bf2703ab27","2","1",""
"114","4","disposal, used mineral oil, 10% water, to hazardous waste incineration + HALOGENS FROM HAZ WASTE","","93a60a56-a3c8-11da-a746-0800200b9a66","1","130","da4b2bb0-6e68-4d98-a19e-a0a4a7b9e583","2","1","114"
"115","4","calcium chloride, CaCl2, at regional storage","","93a60a56-a3c8-11da-a746-0800200b9a66","1","114","a93919e3-2e1a-49cf-92d1-d29dbb212735","2","2.600700e-03","115"
"116","4","cement, unspecified, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","114","80859da4-0b79-4fda-9ec0-3470bcc95eb7","2","4.570500e-03","116"
"117","4","disposal, cement, hydrated, 0% water, to residual material landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","1","114","f155362d-634b-4d9a-8b8d-3d0e977c8e02","2","1.142600e-02","117"
"118","4","CH: hazardous waste incineration plant","","01846770-4cfe-4a25-8ad9-919d8d378345","3","114","98ae4544-d5e3-4060-a3aa-63642ddbd231","1","1.250000e-09",""
"119","4","iron (III) chloride, 40% in H2O, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","114","48ee411f-7101-4152-b737-75ed47185637","2","5.683700e-04","119"
"120","4","CH: process-specific burdens, hazardous waste incineration plant","","93a60a56-a3c8-11da-a746-0800200b9a66","3","114","3bd47516-a122-44d5-9879-03d875893ac5","1","1",""
"121","4","CH: process-specific burdens, residual material landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","114","74a06560-01f7-404b-8a3a-a0305328f2fd","1","1.142600e-02",""
"122","4","quicklime, milled, packed, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","114","a8b476d5-6e28-4eef-9355-282e574f9e95","2","1.411200e-04","122"
"123","4","CH: residual material landfill facility","","01846770-4cfe-4a25-8ad9-919d8d378345","3","114","3ccf92eb-a71e-4539-93ab-fe07f439f490","1","2.380500e-11",""
"124","4","transport, lorry 20-28t, fleet average","","b04c0757-47f1-43f5-b910-5f475e11bd9b","1","114","8f497799-74f5-453b-978e-026d0491b914","2","1.350000e-03","124"
"125","4","chemicals inorganic, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","114","a59591db-180d-4351-9219-a689459b1f36","2","3.269200e-05","125"
"126","4","chemicals organic, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","114","d6a970f7-78f3-4e97-a888-04ac669cc72d","2","5.072900e-06","126"
"127","4","hydrochloric acid, 30% in H2O, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","114","dd28560d-504c-47c9-9275-39357f9923ff","2","1.961500e-05","127"
"128","4","sodium hydroxide, 50% in H2O, production mix, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","114","9be1d133-e659-4194-b919-ee26ef11447b","2","1.821500e-03","128"
"129","4","transport, freight, rail","","b04c0757-47f1-43f5-b910-5f475e11bd9b","1","114","bfb7e1d7-d97f-4053-9dc8-0f4aa3aefcab","2","7.728200e-03","129"
"130","4","Haz Waste Incineration Output","","93a60a56-a3c8-11da-a746-0800200b9a66","1","","42d9e46e-8c40-41ae-8ba3-b069bc7c863f","2","1","130"
"131","4","Waste to Disposal","","59dde9ea-d20b-4214-addc-0d03853aad53","3","130","13a4a21a-ecee-4af1-bd30-c6bf2703ab27","2","1",""
"132","5","Truck Class LHD2 Diesel","","838aaa20-0117-11db-92e3-0800200c9a66","1","138","f9750573-2888-466f-8734-6013585d0ac0","2","1.365000e+01","132"
"133","5","Diesel","","93a60a56-a3c8-11da-a746-0800200b9a66","4","132","55a4c166-2eb6-43a3-9a13-2e4f2c4fee60","1","3.585698e-05","0"
"134","5","Truck Class 6 MHD Diesel","","838aaa20-0117-11db-92e3-0800200c9a66","1","138","5be0532e-080e-401e-8f57-7b31032a07af","2","1.482000e+01","134"
"135","5","Diesel","","93a60a56-a3c8-11da-a746-0800200b9a66","4","134","55a4c166-2eb6-43a3-9a13-2e4f2c4fee60","1","2.321261e-05","0"
"136","5","UO Local Collection","","93a60a56-a3c8-11da-a746-0800200b9a66","3","138","18801b22-73cc-4412-af2d-c10c62484dc7","1","1",""
"137","5","Used Oil Collected","","59dde9ea-d20b-4214-addc-0d03853aad53","3","138","ef359a3c-996f-4183-a973-1d99edb3e42f","2","1",""
"138","5","Local Collection Mixer","","93a60a56-a3c8-11da-a746-0800200b9a66","1","139","18801b22-73cc-4412-af2d-c10c62484dc7","2","1","138"
